epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,677.284,1.44586,1.43806,1.42144,0.81774,0.37992,0.60819,0.41299,1.45481,1.34537,1.43008,0.00988638,0.00988638,0.00988638
43,693.977,1.44636,1.4564,1.42,0.85247,0.41841,0.63775,0.40966,1.48542,1.33672,1.46969,0.00988079,0.00988079,0.00988079
44,710.251,1.45172,1.469,1.42098,0.85698,0.36389,0.61537,0.41257,1.44008,1.26834,1.41268,0.00987507,0.00987507,0.00987507
45,726.321,1.43114,1.41433,1.40106,0.73172,0.44746,0.60242,0.40654,1.44672,1.31729,1.41154,0.00986922,0.00986922,0.00986922
46,742.419,1.43558,1.39225,1.41196,0.72205,0.46573,0.60563,0.40441,1.44007,1.43412,1.41544,0.00986323,0.00986323,0.00986323
47,758.43,1.44395,1.41295,1.42785,0.74208,0.37018,0.57148,0.38861,1.45865,1.31512,1.42798,0.00985711,0.00985711,0.00985711
48,774.572,1.44273,1.43117,1.41926,0.86248,0.40219,0.62795,0.41852,1.46299,1.33282,1.4349,0.00985087,0.00985087,0.00985087
49,790.735,1.42827,1.38584,1.40969,0.81818,0.43874,0.63998,0.45689,1.45927,1.33507,1.42845,0.00984449,0.00984449,0.00984449
50,806.89,1.40361,1.37295,1.38879,0.80078,0.4667,0.64139,0.4387,1.39925,1.27105,1.41817,0.00983798,0.00983798,0.00983798
51,823.018,1.42995,1.38952,1.41397,0.80418,0.49041,0.66141,0.4548,1.42175,1.29215,1.40185,0.00983133,0.00983133,0.00983133
52,839.194,1.40818,1.35291,1.3949,0.7486,0.33745,0.55171,0.38631,1.43334,1.29759,1.41526,0.00982456,0.00982456,0.00982456
53,855.325,1.41771,1.38735,1.40448,0.8091,0.36291,0.59326,0.40099,1.48693,1.46309,1.49132,0.00981765,0.00981765,0.00981765
54,871.756,1.43223,1.39349,1.4113,0.8392,0.46158,0.66158,0.45631,1.40936,1.22612,1.38954,0.00981062,0.00981062,0.00981062
55,888.035,1.4053,1.31386,1.38585,0.81494,0.51199,0.66153,0.44379,1.45336,1.24557,1.42829,0.00980345,0.00980345,0.00980345
56,904.311,1.45593,1.40471,1.41859,0.7481,0.52296,0.65128,0.44425,1.43173,1.30176,1.40849,0.00979616,0.00979616,0.00979616
57,920.729,1.40124,1.36549,1.38012,0.79256,0.47101,0.63843,0.44207,1.40351,1.22833,1.39429,0.00978873,0.00978873,0.00978873
58,937.08,1.41214,1.35723,1.40037,0.72448,0.52278,0.6304,0.41022,1.42009,1.22876,1.38954,0.00978118,0.00978118,0.00978118
59,953.144,1.40359,1.34487,1.39319,0.83713,0.50333,0.66211,0.43063,1.41058,1.18469,1.39543,0.00977349,0.00977349,0.00977349
60,969.496,1.39462,1.28256,1.38437,0.83918,0.47479,0.65706,0.44949,1.38358,1.13246,1.37761,0.00976567,0.00976567,0.00976567
61,985.578,1.39061,1.29838,1.37845,0.81993,0.50245,0.66994,0.4289,1.42536,1.1909,1.38824,0.00975773,0.00975773,0.00975773
62,1001.59,1.41553,1.31849,1.41031,0.8298,0.49154,0.67081,0.45232,1.41116,1.14992,1.3895,0.00974966,0.00974966,0.00974966
